Filename,Normalized integer,Normalized floating,Normalized control,Cycles,Normalized time avg,Ratio Memory,Ratio branches,Ratio call,Phase
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-208,185.098464,0.806088,45.259206,35487792,1.603027344,0.423707876,8.336407429,0.043381716,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-209,185.981388,0.809916,45.475182,35656959,1.610351563,0.423708332,8.336332034,0.043381245,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-21,20.282406,0.08838,4.960908,3981655,0.412109375,0.423864128,8.38542045,0.04348841,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-210,186.857664,0.813732,45.689886,35824168,1.614990234,0.42370574,8.336077563,0.043378047,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-211,187.739118,0.817608,45.905946,35992702,1.621826172,0.423704377,8.335622807,0.043376342,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-212,188.623956,0.82146,46.12218,36161910,1.628662109,0.423703184,8.335502338,0.043374619,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-213,189.50367,0.825276,46.337712,36330431,1.635009766,0.423701886,8.335320561,0.043371757,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-214,190.381536,0.829098,46.552692,36498847,1.641845703,0.423700548,8.335029784,0.043369694,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-215,191.265072,0.832914,46.768602,36667820,1.6484375,0.423700871,8.334815532,0.043368198,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-216,192.143154,0.83673,46.98312,36835087,1.653808594,0.423698752,8.334760674,0.043370811,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-217,193.018746,0.840492,47.196858,37002903,1.661132813,0.423696011,8.334673898,0.043373353,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-218,193.900146,0.844278,47.41215,37171050,1.666259766,0.423694522,8.334618188,0.043375844,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-219,194.77992,0.848094,47.626734,37338522,1.672851563,0.423691304,8.334435198,0.043378452,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-22,21.159468,0.092172,5.175234,4149332,0.419189453,0.423847005,8.384094,0.043497164,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-220,195.657882,0.851874,47.841378,37506254,1.679199219,0.423687229,8.334232781,0.043380481,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-221,196.53693,0.855672,48.056238,37674328,1.684570313,0.423685571,8.333932725,0.043383046,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-222,197.415762,0.85944,48.270918,37841739,1.691894531,0.423683733,8.333817128,0.043383389,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-223,198.29571,0.863256,48.486438,38009559,1.698486328,0.423682942,8.333605527,0.043380997,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-224,199.17435,0.867072,48.701706,38176813,1.703369141,0.423680698,8.333368979,0.043378234,1
